idx	dt	s1	s2	s3
0	2020-09-30 21:00:00	-63.54	
1	2020-09-30 21:01:00	-63.71	-69.18	-67.54
2	2020-09-30 21:02:00	-63.54	-69.45	-67.98
3	2020-09-30 21:03:00	-63.54	-69.4	-68.03
4	2020-09-30 21:04:00	-63.82	-69.51	-67.87
5	2020-09-30 21:05:00	-64.04	-69.4	-68.09
6	2020-09-30 21:06:00	-63.98	-69.51	-67.98
7	2020-09-30 21:07:00	-63.98	-69.62	-68.09
8	2020-09-30 21:08:00	-64.2	-69.62	-68.25
9	2020-09-30 21:09:00	-64.09	-69.56	-68.25
10	2020-09-30 21:10:00	-64.36	-69.67	-68.25
11	2020-09-30 21:11:00	-64.25	-69.73	-68.41
12	2020-09-30 21:18:00	-64.58	-70.17	-68.63
13	2020-09-30 21:18:00	-64.58	-70.17	-68.63
14	2020-09-30 21:19:00	-64.53	-70.28	-68.69
15	2020-09-30 21:20:00	-64.58	-70.17	-68.69
16	2020-09-30 21:21:00	-64.53	-70.28	-68.69
17	2020-09-30 21:22:00	-64.58	-70.28	-68.91
18	2020-09-30 21:23:00	-64.53	-70.44	-68.85
19	2020-09-30 21:24:00	-64.75	-70.6	-69.02
20	2020-09-30 21:25:00	-64.75	-70.33	-69.02
21	2020-09-30 21:26:00	-64.8	-70.44	-69.07
22	2020-09-30 21:27:00	-64.86	-70.28	-68.96
23	2020-09-30 21:28:00	-65.02	-70.17	-69.13
24	2020-09-30 21:29:00	-64.91	-70.11	-69.24
25	2020-09-30 21:30:00	-64.75	-70.22	-69.18
26	2020-09-30 21:31:00	-64.8	-70.11	-69.24
27	2020-09-30 21:32:00	-65.08	-70.17	-69.18
28	2020-09-30 21:33:00	-65.02	-70.06	-69.18
29	2020-09-30 21:34:00	-65.24	-70.17	-69.18
30	2020-09-30 21:35:00	-65.02	-70.17	-69.45
31	2020-09-30 21:36:00	-65.18	-70.17	-69.35
32	2020-09-30 21:37:00	-65.29	-70.17	-69.35
33	2020-09-30 21:38:00	-65.24	-70.17	-69.4
34	2020-09-30 21:39:00	-65.29	-70.22	-69.45
35	2020-09-30 21:40:00	-65.29	-70.44	-69.51
36	2020-09-30 21:41:00	-65.46	-70.44	-69.62
37	2020-09-30 21:42:00	-65.46	-70.6	-69.56
38	2020-09-30 21:43:00	-65.57	-70.71	-69.56
39	2020-09-30 21:44:00	-65.46	-70.77	-69.62
40	2020-09-30 21:45:00	-65.57	-70.82	-69.67
41	2020-09-30 21:46:00	-65.46	-70.88	-69.67
42	2020-09-30 21:47:00	-65.62	-70.88	-70
43	2020-09-30 21:48:00	-65.68	-71.15	-69.67
44	2020-09-30 21:49:00	-65.46	-71.04	-69.89
45	2020-09-30 21:50:00	-65.68	-70.99	-69.78
46	2020-09-30 21:51:00	-65.79	-70.99	-69.89
47	2020-09-30 21:52:00	-65.68	-70.99	-70.17
48	2020-09-30 21:53:00	-65.9	-70.99	-70.11
49	2020-09-30 21:54:00	-65.79	-71.04	-70
50	2020-09-30 21:55:00	-65.73	-70.99	-70.06
51	2020-09-30 21:56:00	-65.79	-71.04	-70.11
52	2020-09-30 21:57:00	-65.9	-71.15	-70.06
53	2020-09-30 21:58:00	-65.9	-71.21	-70.06
54	2020-09-30 21:59:00	-65.95	-70.99	-70
55	2020-09-30 22:00:00	-65.95	-71.15	-70.11
56	2020-09-30 22:01:00	-65.95	-71.59	-70.28
57	2020-09-30 22:02:00	-65.9	-71.37	-70.11
58	2020-09-30 22:03:00	-66.01	-71.59	-70.28
59	2020-09-30 22:04:00	-66.12	-71.32	-70.28
60	2020-09-30 22:05:00	-66.01	-71.59	-70.22
61	2020-09-30 22:06:00	-66.22	-71.7	-70.17
62	2020-09-30 22:07:00	-66.12	-71.7	-70.22
63	2020-09-30 22:08:00	-66.12	-71.64	-70.28
64	2020-09-30 22:09:00	-66.17	-71.86	-70.44
65	2020-09-30 22:10:00	-66.22	-72.03	-70.28
66	2020-09-30 22:11:00	-66.22	-72.03	-70.44
67	2020-09-30 22:12:00	-66.39	-72.08	-70.33
68	2020-09-30 22:13:00	-66.12	-72.14	-70.49
69	2020-09-30 22:19:00	-66.39	-72.25	-70.49
70	2020-09-30 22:20:00	-66.44	-72.3	-70.66
71	2020-09-30 22:21:00	-66.5	-72.3	-70.6
